OBJECTID,GID,RR_ABRVN,RR_COMPANY,RR_STATUS,RR_TYP,RR_NBR,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,SHAPE_Length,WKT
1483,1440,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0005518249291785378,"MULTILINESTRING ((-98.46728073699995 29.436252443000058, -98.46672891499998 29.43625064500003))"
1484,1441,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00035782125192683505,"MULTILINESTRING ((-98.46672891499998 29.43625064500003, -98.46638047899995 29.436169230000075))"
1485,1442,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0009057375956222275,"MULTILINESTRING ((-98.46638047899995 29.436169230000075, -98.46549848099994 29.435963220000076))"
1486,1443,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0011667454182401618,"MULTILINESTRING ((-98.46672891499998 29.43625064500003, -98.465562176 29.43624677500003))"
1487,1444,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0005801411277494157,"MULTILINESTRING ((-98.46380216399996 29.43541595100004, -98.464382302 29.435417856000072))"
1489,1334,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0034168655796838693,"MULTILINESTRING ((-95.35404264799996 29.77135247800004, -95.35537818199998 29.770707035000044, -95.35547053699997 29.770650110000076, -95.35555575899997 29.770585253000036, -95.35563292999996 29.77051316400008, -95.355704845 29.770430030000057, -95.355771856 29.770330915000045, -95.35582705999997 29.770220411000025, -95.35586606699997 29.770104752000066, -95.35588827599997 29.769985787000053, -95.35589365599998 29.769881742000052, -95.35587268599994 29.768969983000034))"
1490,1335,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0015229241469213904,"MULTILINESTRING ((-95.380930633 29.769959351000068, -95.37941566799998 29.769803855000077))"
1491,1336,UP,Union Pacific Railroad Company,Pulled,Spur Line,66,,,,,,0.00477585463298159,"MULTILINESTRING ((-95.36365447699995 29.771818585000062, -95.36004579799999 29.76869029100004))"
1492,1337,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.003673326725605107,"MULTILINESTRING ((-95.01951294599996 29.756782775000033, -95.01982291799999 29.75658021000004, -95.02015106399995 29.756395714000064, -95.02104060999994 29.755953614000077, -95.02115890299996 29.755904247000046, -95.02128205699995 29.755865019000055, -95.02147655999994 29.755825490000063, -95.02167558599996 29.75581112800006, -95.02295275399996 29.755850554000062))"
1493,1338,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.003498457898474622,"MULTILINESTRING ((-95.27517879099997 29.730673171000035, -95.27629218999994 29.73398972800004))"
1495,1340,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00043298223171968657,"MULTILINESTRING ((-95.33647951599994 29.725446238000075, -95.33622946499997 29.725092758000073))"
1496,1341,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0005346611662463887,"MULTILINESTRING ((-95.33622946499997 29.725092758000073, -95.33592067499995 29.72465628200007))"
1497,1342,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00053418629281462,"MULTILINESTRING ((-95.33592067499995 29.72465628200007, -95.33561301999998 29.72421958600006))"
1501,1346,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0036224730191555883,"MULTILINESTRING ((-95.13604511299997 29.71909623700003, -95.13635097799994 29.718043968000075, -95.13635838999994 29.71571410200005, -95.13638000099996 29.715518518000067))"
1504,1349,UP,Union Pacific Railroad Company,Pulled,Spur Line,66,,,,,,0.002109519769829742,"MULTILINESTRING ((-95.35192652399996 29.763382309000065, -95.35175271199995 29.763223975000074, -95.35043539499998 29.761890536000067))"
